#,Depth,Year,Acamptocladius,Chaetocladius,Chironomini larvula,Chironomus anthracinus-type,Chironomus plumosus-type,Chironomus undifferentiated,Cladopelma lateralis-type,Constempellina-Thienemanniola,Corynoneura,Cricotopus ,Cryptochironomus,Dicrotendipes,Endochironomus tendens-type,Eukiefferiella clarapennis-type,Georthocladius (Atelopdella) ,Glyptotendipes pallens-type,Gymnometriocnemus - Bryophaenocladius,Harnischia,Heterotanytarsus,Heterotrisscaldius grimshawi-type,Heterotrisscaldius maeaeri type 1,Heterotrisscaldius maeaeri type 2,Heterotrissocladius marcidus-type,Heterotrisscladius undifferentiated,Kiefferiellus sp B ,Labrundinia,Lauterborniella,Limnophyes,Macropelopia,Mesocricotopus,Metriocnemus,Microchironomus,Microspectra contracta-type,Microspectra insiginolobis-type,Microtendipes pedellus-type,Niulothauma,Oliveridia,Omisus,Pentaneurini,Parachironomus varvus-type,Parachironomus undifferentiated,Parakieferella nigra-type,Parakieferella triquetra-type,Parakieferella type A,Parakieferella type B,Parametriocnemus,Paratanytarsus,Paratendipes subequlis-type,Phaenospectra flavipes-type,Phaenospectra type A,Polypedillum,Procladius,Protanypus,Psectrocladius barbatipes-type,Psectrocladius calcaratus-type,Psectrocladius psilopterus-type,Psectrocladius septentrionalis-type,Psectrocladius sordidellus-type,Psectrocladius undifferentiated,Pseudochironomus,Rheocricotopus fuiscipes-type,Sergentia ,Stempellina,Stempellinellia Zaverillia,Stenochironomus,Stictochironomus rosenchoeldi-type,Stictochironomus type B,Symposiocladius,Tanypus,Tanytarsus chinyensis-type,Tanytarsus lactescens-type,Tanytarsus lugens-type,Tanytarsus mendax-type,Tanytarsus pallidicornis-type,Tribelos,Zalutschia lingulata pauca-type,Zalutschia mucronata-type,Zalutschia near type A,Zalutschia undifferentiated,Zalutschia zalutschicola-type,Tanytarsini undifferentiated,Chironomini undifferentiated,Orthocladinae undifferentiated,Tanytarsus no spur,Tanypodinae undiff,Unidentifiable 
1,0.5,2021,0,0,0,6,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1.5,0,0,6,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0.5,0,1,0,0,0,0,0,0,0,1,0,0,4,6,0,10,3.5,0,0,0,0,0,0.5,1,0.5,3
2,1,2020.808333,0,0,0,4,0,0,0,0,0,0,5.5,6,0,0,0,0,0,0,0.5,2.5,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,6.5,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,3,1,0,10,1,1,0,0,0,1,0.5,0,0.5,1
3,1.5,2019.052993,0,0,1,3,0,1,1,0,1,0,1,6,0,0,0,0,0,0,0,2,0,0,3,0.5,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,0,0,15.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,12.5,0,0,0,0,0,1,1,5,0,1.5
4,2,2015.919788,0,0,0,3,0,0,0,0,1,0,1,3.5,0,0.5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,4,0,0,0,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,8.5,2.5,0,0,0,1,0,2.5,2.5,0,2.5
5,2.5,2013.16406,0,0,0,6.5,0,0,2.5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,7.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2.5,1,5,3,0,1,1,1,0.5,0,0,0,1
6,3,2010.408332,0,0,0,5.5,1,0,2,0,1,1,2,3,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,2,0,0,2,1,3,0,0,0,4.5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,3,1,4,0.5,0.5,0,0,2,0,0,1,0,1
7,3.5,2007.652604,0,0,0,6,1,0,1,0,0,0.5,0,3,0,0,0,0,0,3,0,1,0,0,5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1.5,0,0,0,2,1,1,0,0,0,13.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,2,0,9,0,1,0,0,0,1.5,1.5,2,0,2
8,4,2001.82346,0,0,1,5,1,1,3,0,1,1,1,7,0,0,0,0,0,2,1,1,0,2,10.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1.5,9,2,0,0,0,16,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,6,2,25.5,1,0.5,0,0,0,2,1,3,0,1
9,4.5,1997.838366,0,0,0,7,3,1,1,0,2,0,0,8,0,0,0,0,0,0,0,3,0,0,9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,6,2,0,0,0,9.5,0,2.5,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0,0,5,3,3,13,0,1,0.5,0,1,0,1.5,1,0,2
10,5,1993.853272,0,1,0,10,1,0,2,0,0,1.5,0,2,0,0,0,0,0,0,0,4.5,0,1,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,2,12,0,0,2.5,0,0,1,0,0,0,0,1,0,0,0,0,0,2,8,1,15,1,0,0,0,0,0.5,1.5,4,0.5,3
