#,Depth,Year,Acamptocladius,Chaetocladius ,Chironomini III (Epler),Chironomini larvula,Chironomus anthracinus-type,Chironomus plumosus-type,Chironomus undifferentiated,Cladopelma lateralis-type,Cladotanytarsus mancus-type,Constempellina-Thienemanniola,Corynocera oliveri-type,Corynoneura ,Cricotopus ,Cryptochironomus,Cryptotendipes,Dicrotendipes ,Doithrix,Endochironomus ,Glyptotendipes ,Gymnometriocnemus,Harnischia,Heterotanytarsus,Heterotrissocladius grimshawi-type,Heterotrissocladius maeaeri-type 2,Heterotrissocladius marcidus-type,Heterotrissocladius undifferentiated,Hydrobaenus ,Labrundinia,Lauterborniella,Limnophyes,Macropelopini,Metriocnemus fuscipes-type,Microchironomus,Micropsectra contracta-type,Micropsectra insignilobus-type,Microtendipes pedellus-type,Nanocladius alternantherae-type,Neostempellina,Nilothauma ,Orthocladius (Edu.) dubitatus ,Orthocladius (S.) annectens-type,Pagastiella,Parachironomus varus-type,Parakiefferiella,Parakiefferiella sp D,Parakiefferiella triquetra-type,Parakiefferiella type A,Parakiefferiella type B,Paralauterborniella,Parametriocnemus/Paraphaenocladius,Paratanytarsus,Paratendipes albimanus-type,Pentaneurini,Phaenocladius type A,Phaenopsectra flavipes-type,Polypedilum ,Procladius,Protanypus,Psecterocladius septentrionalis-type,Psectrocladius calcaratus-type,Psectrocladius psilopterus,Psectrocladius sordidellus-type,Psectrocladius undifferentiated,Pseudochironomus,Pseudorthocladius,Psilometriocnemus,Rheocricotopus,Sergentia coracina-type,Stempellina,Stempellinella sp A,Stempellinella-Zavrelia,Stenochironomus,Stilocladius,Synorthocladius,Tanypus,Tanytarsus chinyensis-type,Tanytarsus glabrescens-type,Tanytarsus lactescens-type,Tanytarsus lugens-type,Tanytarsus mendax-type,Tanytarsus pallidicornis-type,Thienemanniella,Tribelos ,Xenochironomus,Zalutschia lingula pauca-type,Zalutschia sp A,Zalutschia undifferentiated,Zalutschia zalutschicola-type,Zavreliella,Chironomini undifferentiated,Orthocladiinae undifferentiated,Tanypodinae undifferentiated,Tanytarsini undifferentiated,Tanytarsus no spur,Unidentifiable,Unknown
1,1,2022.63,0,0,0,1,9.5,1,1,9,3,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5,2,1,2.5,0,0,0,2,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,0,2,0,0,0,0,1,0,1.5,0,0,2,8,0,0
2,1.5,2018.49,0,0.5,0,0,13,0,0,2,3,0,0,0,0.5,1,1,2,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,3.5,0,0,2,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,3,0,0.5,0,0,0.5,0,1,0.5,0,2,4,0,0
3,2,2016.044068,0,0,0,1,12,0,0,6,5,0,0,1,1,0,0,8,0,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,3,0,0.5,1,0,4.5,0,0,4,1,0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,6,0,0.5,1,0,0,0,0,0,2,0,0,3.5,8,2.5,1
4,2.5,2010.76,0,1,0,0,16,0,0,4,12,0,0,0,2,0,3,8,0,4.5,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3.5,0,0,6,2,0,0,0,3,6,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,0,1,0,0,0,0,1,0,2,1.5,0.5,4.5,5.5,0,1
5,3,2005.326524,0,0,0,0,18.5,0,0,5,4,0,0,2,0.5,0,2,6,0,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1.5,0,0,1,0,3,0,0,6,0,0,0,1,1,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0.5,0,4,4,0,1
6,3.5,2003.32,0,0,0,1,10.5,0,0.5,8,0,0,0,0,1,0,2,4,0,0,0,0.5,0,0,2,0,0.5,0,0,0,0,1,0,0,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,0,0,2,2,0,0,0,2,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,4,0,0,0,0,0,0,2,0,0,0.5,0,4.5,1,1,0
7,4,2001.218841,0,1,0,1,5.5,0,0,1,6,0,0,0,3,0,0,5,0,4,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,1,7,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0.5,0,0,3,1.5,0
8,4.5,1999.01938,0,0,0,4,9,0,0,1,6,0,0,0,3.5,1,1,7,1,0,0,0,0,0,0,0,0.5,0,0,1.5,0,2,0.5,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,6,0,0,4,3,0,0,0,1,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,0,0,0,1.5,0,0,1.5,0,1,0.5,0.5,0,6.5,3,0
9,5,1996.72284,0,0,0,2,20,5.5,1,4,5,0,0,0,1,1,0,12,0,2.5,1,0,0,0,0,0,0,0,0,1,0,1.5,1,0,1,0,0,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,9,0,0,7,6,0,0,1,3,7.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7.5,0,0,0,0,0,0,0,0,0,2,0.5,5.5,3,5.5,0
10,6,1990.977117,0,0,0,1,13,0,0,2,3,0,0,1,1,0,0,3,0,1,0,0,0,0,0.5,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,5,0,0,2,3.5,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4.5,0,0,0,0,0,0,0,0,1,0.5,0,3,2.5,0,0
