#,Depth,Year,Acamptocladius,Bryophaenocladius,Chironomini III (Epler),Chironomini larvula,Chironomus anthracinus-type,Chironomus plumosus-type,Chironomus undifferentiated,Cladopelma lateralis-type,Cladotanytarsus mancus-type,Constempellina-Thienemanniola,Corynocera oliveri-type,Corynoneura ,Cricotopus ,Cryptochironomus,Cryptotendipes,Dicrotendipes ,Endochironomus ,Eukiefferiella devonica-type,Glyptotendipes ,Gymnometriocnemus,Harnischia,Heterotanytarsus,Heterotrissocladius grimshawi-type,Heterotrissocladius maeaeri-type 2,Heterotrissocladius marcidus-type,Heterotrissocladius undifferentiated,Hydrobaenus,Labrundinia,Lauterborniella,Limnophyes,Macropelopia,Microchironomus,Micropsectra contracta-type,Micropsectra insignilobus-type,Microtendipes pedellus-type,Nanocladius alternantherae-type,Neostempellina,Nilothauma,Omisus,Orthocladius (S.) annectens-type,Pagastiella,Parachironomus varsus-type,Paracladopelma ,Parakiefferiella sp. D ,Parakiefferiella triquetra-type,Parakiefferiella type A,Parakiefferiella type B,Parakiefferiella sp. D,Paralauterborniella,Parametriocnemus,Paraphaenocladius,Paratanytarsus,Paratendipes albimanus-type,Pentaneurini,Phaenopsectra type A,Polypedilum ,Procladius,Protanypus,Psecterocladius septentrionalis-type,Psectrocladius calcaratus-type,Psectrocladius psilopterus-type,Psectrocladius sordidellus-type,Psectrocladius undifferentiated,Pseudochironomus,Pseudorthocladius,Psilometriocnemus,Rheocricotopus,Sergentia coracina-type,Stempellina,Stempellinella - Zavrelia,Stempellinella sp. A ,Stenochironomus,Stictochironomus type B,Stilocladius,Synorthocladius,Tanypus,Tanytarsus chinyensis-type,Tanytarsus glabrescens-type,Tanytarsus lactescens-type,Tanytarsus lugens-type,Tanytarsus mendax-type,Tanytarsus nemorosus-type,Tanytarsus pallidicornis-type,Thienemanniella lobapodema-type,Tribelos,Unniella,Xenochironomus,Zalutschia lingulata pauca-type,Zalutschia sp. A,Zalutschia undifferentiated,Zalutschia zalutschicola-type,Zavreliella,Chironomini undifferentiated,Orthocladiinae undifferentiated,Tanypodinae undifferentiated,Tanytarsus no spur,Tanytarsini undifferentiated,Unknown,Unidentifiable
1,0.5,2022.66,0,0,0,1,1,0,0,1.5,0,0,0,4,1,0,0,1,0,0,0,0,0,3,0.5,0,2.5,0,0,0,0,0,2,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3.5,2,3,0,2,1,1.5,0.5,0.5,0,0,0,8,4,0,1,0,0,0,0,0,0,0,0,0,4.5,0,5,1,0,0,0,10.5,0,1,0.5,0,0,1,0,9,3,0,0.5
2,1,2015.030233,0,0,2,5,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,4.5,3.5,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,0,1,0,0,0,0,0,0,0,8.5,0,1,4,1,0,0,0,2,0.5,1.5,0,0,0,7.5,0,1,0,0,0,0,0,0,0,0,0,0.5,1,0,4,0,0,1,0,9,0,0,1,0,1.5,1.5,0,5,1.5,1,0
3,1.5,2012.685459,0,0,1,3,2,0,0,2,2,0,0,2,1,1,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0.5,0,2,0,3.5,1,0.5,0.5,0.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,0,0,0,0,1,1.5,3.5,1,0,1
4,2,2010.129034,0,0,2,1,2,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0.5,0,0,1.5,0,0,0,0,1.5,0,1,1,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,4,0,0,0,3,0,1.5,0,1.5,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,3,0,2,0,0,11.5,0,0,0,0,1,2.5,1,2,2.5,0,1
5,2.5,2007.687004,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0.5,1.5,0,0,0,0,0.5,1.5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,1,0,1,0,4.5,1,1.5,2,0,0,2,0,2.5,0.5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,22,0,0,1,0,0,0.5,0.5,3.5,5.5,0,0
6,3,2004.842381,0,0,0.5,0,3,2,0,2,0,0,0,1,1.5,0,1,0.5,0,0,0,0,0,0,1.5,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,3,5,0,4,2,4.5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,1,0,0,8.5,0,0,0.5,0,0,0,1,4,2,0,0
7,3.5,2001.576441,0,0,3.5,2,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,3,2,0,0,0,0,0,0,1.5,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,9.5,0,3,0,5,0,1.5,0,5,0,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,5,1,0,0,0,17.5,0,0,1,0,0,1,1.5,7.5,1,0,0
8,4,1998.162532,0,0,2,2,1,0,0,0,0,0,0,3,0.5,0,1,1,0,0,0,0,0,0.5,4,0,0.5,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.5,0,0,0,0,0,0,0,5,0,0,1,0,0,3,0,6,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1.5,1,0,0,0,0,6.5,0,4,0,1,0,1,18.5,0,0,3.5,0,0,0.5,1,4,2.5,0,0
9,4.5,1994.334163,0,0,7,3,3,0,0,3,0,0,0,5,0,1,0,5,0,0,0,0.5,0,2.5,4.5,0,3,0,0,0,0,0.5,2,0,3,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,8.5,0,1.5,3,5,0,3.5,1.5,5,1.5,1,0,0,0,11.5,0,0,0,0,0,0,0,0,1,0,0,1,9,1,11,0,0,3,0,37,0,0,5,0,0.5,0.5,1,15,2.5,0,0
10,5,1989.101811,0,0,1.5,1,2,0,0,1.5,0,0,0,2,0,0,0,4,0,0,0,0,0,2.5,5.5,0,2.5,0,0,1,0,0.5,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,1,1,0,3,1,1,0,1.5,0,0,0.5,9,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,5.5,1,0,1,0,20.5,0,0,0.5,0,0,0.5,1,10,4.5,0,1.5
