#,Depth,Year,d13c,C,d15N,N,C:N
1,1,2015.03,-30.2,26.6,1.7,1.8,17.73
2,2,2010.129,-30.1,25.8,1.8,1.9,16.18
3,3,2004.842,-30.2,25.4,1.3,1.8,16.1
4,4,1998.163,-30.1,24.9,1.2,1.8,16.31
5,5,1989.102,-30.1,25,2.6,1.6,17.78
6,6,1979.969,-30.1,24.3,3.2,1.6,17.49
7,7,1969.086847,-29.9,23.5,1.8,1.7,15.93
8,8,1954.703903,-30,21.7,2.1,1.5,16.65
9,9,1936.148378,-29.9,21.5,2.2,1.5,16.39
10,10,1922.413434,-30,21.1,2.5,1.5,16.74
11,13,1888.729465,-29.9,19.4,2,1.5,15.29
12,16,1868.364,-30,19,2.5,1.4,16.06
13,19,1837.701,-30,18.9,2.4,1.4,15.74
14,22,1807.038,-30,20.5,2.8,1.5,15.83
15,25,1776.375,-30,22.8,2.6,1.7,16.11
16,28,1745.712,-30,23.1,2,1.7,15.66
17,31,1715.049,-30.2,23.9,3.7,1.6,17.1
18,34,1684.386,-30.2,25.1,2.8,1.8,16.44
19,37,1653.723,-30.3,24.8,2.4,1.9,15.55
20,40,1623.06,-30.4,25.1,2.5,1.7,16.82
21,43,1592.397,-30.3,25,2.7,1.9,15.26
22,46,1561.734,-30,20.7,2.6,1.4,16.76
23,47.5,1546.4025,-30,22.7,2.38,1.71,15.69804682
